dataset,roc_auc,test_set
MITDB,0.619099480182047,semisupervised_test
MITDB,0.5996508647370613,unsupervised_test
MSL,0.6508902524407795,unsupervised_test
MSL,0.6524554532418497,semisupervised_test
GHL,0.3815169580181731,unsupervised_test
GHL,0.3817648371739693,semisupervised_test
SMD,0.6554206088742789,unsupervised_test
SMD,0.6555034553594934,semisupervised_test
SVDB,0.7157891043057528,unsupervised_test
SVDB,0.7158092759349627,semisupervised_test
OPPORTUNITY,0.3632428266388937,unsupervised_test
OPPORTUNITY,0.3637790095663573,semisupervised_test
CATSv2,0.546040301612091,unsupervised_test
CATSv2,0.5494177563803154,semisupervised_test
SMAP,0.642436901534011,unsupervised_test
SMAP,0.6432892024563177,semisupervised_test
