dataset,roc_auc,test_set
MSL,0.5950784683865572,unsupervised_test
MSL,0.596502062957775,semisupervised_test
MITDB,0.6521030365593043,unsupervised_test
MITDB,0.6514200068110608,semisupervised_test
GHL,0.2956983407009551,unsupervised_test
GHL,0.2956782497796022,semisupervised_test
SMD,0.5716945784634702,unsupervised_test
SMD,0.5723309123307346,semisupervised_test
SVDB,0.5544997725774566,unsupervised_test
SVDB,0.5547820064990532,semisupervised_test
OPPORTUNITY,0.362190231048103,unsupervised_test
OPPORTUNITY,0.3627325926740318,semisupervised_test
CATSv2,0.5374912882513546,unsupervised_test
CATSv2,0.5402204598329035,semisupervised_test
SMAP,0.6067740042229246,unsupervised_test
SMAP,0.6095634893605099,semisupervised_test
